"rt","response","trialType","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","date","time","leftRight","age","race","ethnicity","gender","exp_duration","success","timeout","failed_images","failed_audio","failed_video","stimulus","view_history","trialID","radius_a","radius_b","angle_a","angle_b","lrCond","question_order"
"null","null","clear_screen","canvas-keyboard-response","36","190226","0.0-11.0-1.12","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","125","30","30","17","40","",""
"3021","6","rating","canvas-keyboard-response","37","193255","0.0-11.0-0.13","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","159","85","140","17","33","0",""
"null","null","clear_screen","canvas-keyboard-response","38","193512","0.0-11.0-1.13","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","159","85","140","17","33","",""
"2957","9","rating","canvas-keyboard-response","39","196479","0.0-11.0-0.14","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","235","113","140","25","25","0",""
"null","null","clear_screen","canvas-keyboard-response","40","196738","0.0-11.0-1.14","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","235","113","140","25","25","",""
"2436","8","rating","canvas-keyboard-response","41","199183","0.0-11.0-0.15","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","10","30","30","10","25","1",""
"null","null","clear_screen","canvas-keyboard-response","42","199441","0.0-11.0-1.15","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","10","30","30","10","25","",""
"4029","5","rating","canvas-keyboard-response","43","203480","0.0-11.0-0.16","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","259","30","140","33","33","0",""
"null","null","clear_screen","canvas-keyboard-response","44","203741","0.0-11.0-1.16","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","259","30","140","33","33","",""
"2870","1","rating","canvas-keyboard-response","45","206623","0.0-11.0-0.17","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","107","140","57","10","40","1",""
"null","null","clear_screen","canvas-keyboard-response","46","206882","0.0-11.0-1.17","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","107","140","57","10","40","",""
"4522","6","rating","canvas-keyboard-response","47","211416","0.0-11.0-0.18","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","137","57","140","17","25","1",""
"null","null","clear_screen","canvas-keyboard-response","48","211674","0.0-11.0-1.18","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","137","57","140","17","25","",""
"1387","6","rating","canvas-keyboard-response","49","213071","0.0-11.0-0.19","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","268","57","30","33","40","0",""
"null","null","clear_screen","canvas-keyboard-response","50","213331","0.0-11.0-1.19","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","268","57","30","33","40","",""
"3033","3","rating","canvas-keyboard-response","51","216375","0.0-11.0-0.20","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","16","30","57","10","33","0",""
"null","null","clear_screen","canvas-keyboard-response","52","216634","0.0-11.0-1.20","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","16","30","57","10","33","",""
"2740","3","rating","canvas-keyboard-response","53","219383","0.0-11.0-0.21","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","2","30","85","10","10","0",""
"null","null","clear_screen","canvas-keyboard-response","54","219642","0.0-11.0-1.21","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","2","30","85","10","10","",""
"1785","8","rating","canvas-keyboard-response","55","221439","0.0-11.0-0.22","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","239","113","113","25","33","0",""
"null","null","clear_screen","canvas-keyboard-response","56","221698","0.0-11.0-1.22","102","2022-3-11","14:0:8","1","20","[""Asian""]","No","Female","1109294","","","","","","","","239","113","113","25","33","",""
